seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
28323,2020,4586,Anfernee Simons,NA,SG,20,2,NBA,POR,70,4,1449,5.3,13.3,0.399,1.9,5.6,0.332,3.5,7.7,0.448,1.9,2.3,0.826,0.6,3.2,3.8,2.4,0.6,0.2,1.5,3.4,14.4
28324,2020,4469,Ante Žižić,NA,C,23,3,NBA,CLE,22,0,221,6.7,11.7,0.569,0,0,NA,6.7,11.7,0.569,2.3,3.1,0.737,2.9,7.8,10.8,1,1.1,0.8,1.6,4.4,15.6
28325,2020,4066,Anthony Davis,NA,PF,26,8,NBA,LAL,62,62,2131,9.3,18.5,0.503,1.2,3.7,0.33,8.1,14.8,0.546,7.5,8.9,0.846,2.4,7.3,9.7,3.4,1.5,2.4,2.6,2.6,27.3
28326,2020,3798,Anthony Tolliver,NA,PF,34,12,NBA,TOT,55,13,872,2.7,7.5,0.357,2,6,0.338,0.7,1.5,0.432,0.9,1.2,0.724,1.4,5,6.4,1.7,0.8,0.5,1.4,3.1,8.3
28327,2020,3798,Anthony Tolliver,NA,PF,34,12,NBA,POR,33,9,554,2.8,7.6,0.368,1.9,5.8,0.337,0.8,1.8,0.464,0.8,1.2,0.684,1.8,5.4,7.1,1.9,0.5,0.6,1.4,3.5,8.4
28328,2020,3798,Anthony Tolliver,NA,PF,34,12,NBA,SAC,9,0,82,1.3,7.5,0.176,0.9,6.6,0.133,0.4,0.9,0.5,0.4,0.9,0.5,0.9,4,4.8,1.3,1.8,0.4,1.8,2.6,4
28329,2020,3798,Anthony Tolliver,NA,PF,34,12,NBA,MEM,13,4,236,2.9,7.3,0.396,2.6,6.3,0.415,0.3,1.1,0.286,1.1,1.2,0.875,0.8,4.3,5,1.5,1.1,0.2,1.4,2.1,9.5
28330,2020,4471,Antonius Cleveland,NA,SG,25,2,NBA,DAL,11,0,46,3.1,11,0.286,0,2.3,0,3.1,8.6,0.364,2.3,3.9,0.6,1.6,3.9,5.5,0.8,0.8,2.3,1.6,6.3,8.6
28331,2020,4691,Anžejs Pasečņiks,NA,C,24,1,NBA,WAS,27,0,437,5,9.6,0.526,0,0.2,0,5,9.3,0.54,2.8,4.8,0.586,3.5,5.4,8.8,1.5,0.7,1,2,6.2,12.9
28332,2020,4068,Aron Baynes,NA,C,33,8,NBA,PHO,42,28,934,7.1,14.7,0.48,2.3,6.5,0.351,4.8,8.2,0.582,2.2,2.9,0.747,2.7,6.4,9.1,2.6,0.4,0.9,1.9,5.4,18.5
28333,2020,4069,Austin Rivers,NA,SG,27,8,NBA,HOU,68,4,1594,4.8,11.3,0.421,2.2,6.1,0.356,2.6,5.2,0.498,1.8,2.5,0.703,0.6,3.3,4,2.6,1.1,0.2,1.1,2.9,13.5
28334,2020,3918,Avery Bradley,NA,SG,29,10,NBA,LAL,49,44,1186,5.2,11.6,0.444,1.9,5.3,0.364,3.2,6.4,0.51,0.6,0.7,0.833,0.5,2.9,3.5,1.9,1.3,0.2,1.4,3.3,12.8
