Symbol,Year,Name,Country,Category,Market cap,Revenue,Earnings
LMT,2004,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$24.50 B,$35.52 B,$2.08 B
LMT,2005,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$27.80 B,$37.21 B,$2.79 B
LMT,2006,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$38.76 B,$39.62 B,$3.74 B
LMT,2007,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$42.95 B,$41.86 B,$4.82 B
LMT,2008,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$33.32 B,$42.73 B,$5.01 B
LMT,2009,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$28.10 B,$45.18 B,$4.58 B
LMT,2010,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$24.32 B,$46.24 B,$4.20 B
LMT,2011,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$26.17 B,$46.51 B,$3.96 B
LMT,2012,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$29.62 B,$47.18 B,$4.45 B
LMT,2013,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$47.71 B,$45.35 B,$4.50 B
LMT,2014,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$60.85 B,$45.60 B,$5.59 B
LMT,2015,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$66.23 B,$46.13 B,$5.46 B
LMT,2016,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$73.22 B,$49.91 B,$5.87 B
LMT,2017,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$92.05 B,$51.04 B,$5.92 B
LMT,2018,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$73.57 B,$53.76 B,$6.50 B
LMT,2019,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$109.41 B,$59.81 B,$7.89 B
LMT,2020,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$99.31 B,$65.39 B,$8.82 B
LMT,2021,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$96.31 B,,
LMT,2022,Lockheed Martin,USA,Aerospace|Defense contractors|Aircraft manufacturers|Manufacturing,$124.76 B,,
NOC,2001,Northrop Grumman,USA,Aerospace|Defense contractors,$10.98 B,$13.55 B,$1.00 B
NOC,2002,Northrop Grumman,USA,Aerospace|Defense contractors,$17.77 B,$17.52 B,$1.39 B
NOC,2003,Northrop Grumman,USA,Aerospace|Defense contractors,$17.31 B,$26.20 B,$1.53 B
NOC,2004,Northrop Grumman,USA,Aerospace|Defense contractors,$19.81 B,$29.73 B,$2.02 B
NOC,2005,Northrop Grumman,USA,Aerospace|Defense contractors,$20.87 B,$30.72 B,$2.17 B
NOC,2006,Northrop Grumman,USA,Aerospace|Defense contractors,$23.41 B,$30.23 B,$2.44 B
NOC,2007,Northrop Grumman,USA,Aerospace|Defense contractors,$26.56 B,$32.02 B,$2.99 B
NOC,2008,Northrop Grumman,USA,Aerospace|Defense contractors,$14.72 B,$33.88 B,-$0.12 B
NOC,2009,Northrop Grumman,USA,Aerospace|Defense contractors,$17.13 B,$33.75 B,$2.54 B
NOC,2010,Northrop Grumman,USA,Aerospace|Defense contractors,$18.84 B,$34.75 B,$2.87 B
NOC,2011,Northrop Grumman,USA,Aerospace|Defense contractors,$15.27 B,$26.41 B,$3.30 B
NOC,2012,Northrop Grumman,USA,Aerospace|Defense contractors,$16.16 B,$25.21 B,$3.17 B
NOC,2013,Northrop Grumman,USA,Aerospace|Defense contractors,$24.93 B,$24.66 B,$3.12 B
NOC,2014,Northrop Grumman,USA,Aerospace|Defense contractors,$29.32 B,$23.97 B,$3.21 B
NOC,2015,Northrop Grumman,USA,Aerospace|Defense contractors,$34.23 B,$23.52 B,$3.09 B
NOC,2016,Northrop Grumman,USA,Aerospace|Defense contractors,$40.99 B,$24.50 B,$3.22 B
NOC,2017,Northrop Grumman,USA,Aerospace|Defense contractors,$53.42 B,$25.80 B,$3.40 B
NOC,2018,Northrop Grumman,USA,Aerospace|Defense contractors,$41.78 B,$30.09 B,$4.30 B
NOC,2019,Northrop Grumman,USA,Aerospace|Defense contractors,$57.73 B,$33.84 B,$3.07 B
NOC,2020,Northrop Grumman,USA,Aerospace|Defense contractors,$50.80 B,$36.79 B,$4.32 B
NOC,2021,Northrop Grumman,USA,Aerospace|Defense contractors,$60.49 B,,
