Date,City,State,Dead,Injured,Total,Description
2022-04-15,Walnut Township,Kansas,1,3,4,"Police officers responding to reports of a suspicious vehicle found a woman inside a Jeep, who refused to cooperate with officers. She then pulled out a gun when officers attempted to remove her from the vehicle and opened fire, wounding three officers before being fatally shot."
2022-04-12,New York City,New York,0,10,10,"2022 New York City Subway attack: Ten people were shot when a gunman motivated by black supremacy opened fire on a New York City Subway train as it approached the 36th Street station in the Sunset Park neighborhood. Immediately before the attack, the assailant donned a gas mask and threw smoke bombs. The incident caused 19 others to be injured as they fled. The suspect was arrested the next day."
2022-04-12,New York City,New York,1,3,4,"Four people were shot, one fatally, in the Allerton neighborhood of The Bronx."
2022-04-10,Baton Rouge,Louisiana,0,4,4,"Police found three people shot at two related shootings, after a victim flagged down a police cruiser."
2022-04-10,Willowbrook,California,2,4,6,"First responders found two men dead, and four others injured, after a shooting."
2022-04-10,Indianapolis,Indiana,1,5,6,"A fight at a birthday party being held at an event venue erupted into gunfire, with five people being injured, and another person being killed, both in and outside the building."
2022-04-10,Elgin,Illinois,1,5,6,"An early morning shooting at a gathering being held at an apartment complex killed one, and injured five."
2022-04-10,Cedar Rapids,Iowa,2,10,12,"A targeted shooting at a nightclub wounded ten, and killed two, after two men opened fire in the Oakhill Jackson neighborhood."
2022-04-09,Washington D.C.,Washington D.C.,0,4,4,"A shooting carried out by two men across multiple blocks wounded four, including two teenagers."
2022-04-09,Houston,Texas,1,3,4,"A fight inside a bar in the Wingate neighborhood spilled outside, where multiple men pulled out firearms and opened fire at each other, resulting in the death of one man, and injuries to three others."
