RANKING ,VIDEO GAME NAME ,Year,genre,Rating,DETAILS,DIRECTOR ,ACTOR-1,ACTOR-2,ACTOR-3,ACTOR-4,VOTES ,certificate
78,Ratchet & Clank: Rift Apart,(2021 Video Game),"Action, Adventure, Comedy",9,"They've travelled through space. They've travelled through time. Now, they'll have to travel through dimensions as their galaxy seems to rip itself apart. Ratchet and Clank must save the universe - again.",James Arnold Taylor,Jennifer Hale,David Kaye,Debra Wilson,,874,E10+
79,Assassin's Creed II,(2009 Video Game),"Action, Adventure, History",9.1,"Desmond Miles is trained to become a modern-day Assassin through the resurrected memories of ancestor Ezio Auditore da Firenze, who uncovers a massive Templar conspiracy in Renaissance Italy leading to the new Pope.",Sylvain Bernard,Fred Tatasciore,Roger Craig Smith,Kristen Bell,Nolan North,21990,M
80,God of War III,(2010 Video Game),"Action, Adventure, Fantasy",9.1,"Armed with his deadly double-chained blades, Kratos must take on Greek mythology's darkest creatures to destroy Olympus and the mighty Zeus himself.",Stig Asmussen,George Ball,Adrienne Barbeau,Susanne Blakeslee,Clancy Brown,9609,M
81,Portal,(2007 Video Game),"Adventure, Comedy, Sci-Fi",9.1,A test subject wakes up in a scientific facility controlled by a sadistic artificial intelligence and must escape with the help of the only instrument she has--a gun that makes portals.,Ellen McLain,Mike Patton,Alesia Glidewell,Jeep Barnett,,12026,T
82,Disco Elysium,(2019 Video Game),"Comedy, Crime, Drama",9.1,You're a detective tasked with solving a murder in the strange world of Elysium. Utilize a new and innovative skill system to be the detective you want to be. Become a hero or an absolute disaster of a human being.,Mikee W. Goodman,Jullian Champenois,Tariq Khan,Dasha Nekrasova,,538,
83,BioShock,(2007 Video Game),"Action, Adventure, Horror",9.1,"In 1960, a lone survivor of a plane crash named Jack discovers an abandoned underwater utopia, only to find out that the mystery behind its creation is much more sinister than he first believed.",Ken Levine,John Ahlin,Greg Baldwin,Jane Beller,Susanne Blakeslee,18809,M
84,Fallout 3,(2008 Video Game),"Action, Adventure, Sci-Fi",9.1,"Centuries following nuclear war, a teen leaves the safety of an underground vault in order to find their father, who left in hopes of creating a water purifier.",Todd Howard,Liam Neeson,Malcolm McDowell,Ron Perlman,Odette Annable,18426,M
85,Gothic II,(2002 Video Game),"Action, Adventure, Fantasy",9.1,"Rescued from the ruins of the temple of the sleeper, the nameless hero faces another great challenge when Beliar, one of the three gods, summons a tremendous army in the mine valley.",Renier Baaken,Michael Deckner,Sabine Mièl Fischer,Dieter Gring,,740,M
86,Half-Life 2: Episode Two,(2007 Video Game),"Action, Adventure, Sci-Fi",9.1,"Gordon Freeman, along with the help of human and non-human allies, continues his fight against the ruthless alien force known as the Combine.",David Speyrer,Robert Guillaume,Merle Dandridge,Tony Todd,John Aylward,6046,M
87,Vampire: The Masquerade - Bloodlines,(2004 Video Game),"Action, Drama, Fantasy",9.1,"Beginning your journey as a new Kindred, you must choose your path to follow the high class Vampire Society, or the lawbreaking group of Anarchs as you find your place in this new world.",Jason Anderson,Courtenay Taylor,André Sogliuzzo,Andy Milder,Armando Valdes-Kennedy,1746,M
88,Paper Mario: The Thousand-Year Door,(2004 Video Game),"Adventure, Fantasy",9.1,Mario must find all the seven crystal stars to enter the Thousand-Year-Door and save Princess Peach.,Ryota Kawade,Charles Martinet,Jen Taylor,Scott Burns,,1102,E
89,God of War,(2005 Video Game),"Action, Adventure, Fantasy",9.1,"After 10 years of endless nightmares and servitude to the gods of Olympus, Kratos is assigned with a final task, to kill Ares, the God of War.",David Jaffe,Steve Blum,Linda Hunt,Terrence 'T.C.' Carson,Carole Ruggier,9589,M
90,Max Payne 2: The Fall of Max Payne,(2003 Video Game),"Action, Crime, Drama",9.1,"The brooding cop has left the DEA and returned to the NYPD. When his latest case ends up involving the thought-dead femme fatale Mona Sax, he finds that his journey through the night is far from over.",James McCaffrey,Wendy Hoopes,Jonathan Davis,Vince Viverito,,10388,M
